COS_ID,Galaxy,MatchRank,SubhaloID,GroupID,dlogMstar,dlogMHI,dist
26,J1142+3013,4,518682,177,0.029291264402750983,0.06028822829451208,0.06433730443171105
26,J1142+3013,5,511303,163,0.004043617018298917,0.0778197510568166,0.06443344427784106
26,J1142+3013,6,520885,181,0.02775236958284033,0.0640843988907811,0.06549789646265695
26,J1142+3013,7,300905,18,0.015373465499962435,0.0833542875615585,0.07201282886682482
26,J1142+3013,8,499704,143,0.055151123006961456,0.05540094699002829,0.089422060722877
26,J1142+3013,9,549516,249,0.08402496366986689,0.026102696158835315,0.11906977603325705
26,J1142+3013,10,477328,113,0.08385628974479964,0.03797596350501742,0.12099670877004685
28,J1241+2847,1,567897,306,0.023783294704308844,0.03509897149952046,0.04400953686709805
28,J1241+2847,2,595100,421,0.016958304983450745,0.04678840116142169,0.04525400628575886
28,J1241+2847,3,342449,26,0.037667526723417666,0.03262587552017138,0.058993118656461487
28,J1241+2847,4,486918,125,0.02650098104744103,0.06197289296356345,0.06306360687326146
28,J1241+2847,5,593259,412,0.002235220918185732,0.08991996071537045,0.07423228113241243
28,J1241+2847,6,582809,363,0.056465588983197534,0.0047477848365993225,0.07879449916370197
28,J1241+2847,7,602653,461,0.05592589261251746,0.01985540067091307,0.07964683327754321
28,J1241+2847,8,604667,472,0.034865958575311495,0.09997854310187648,0.0957157654531576
28,J1241+2847,9,242794,11,0.05751250568060584,0.0673519787239556,0.09752492907290689
28,J1241+2847,10,596660,429,0.07189093359767362,0.01146035254244282,0.10064061249385056
29,J1251+0551,1,502995,148,0.005092160572807813,0.06100417267897207,0.050814895246942875
29,J1251+0551,2,494011,135,0.0005619477667533346,0.0655896401628766,0.05410466081000077
29,J1251+0551,3,492244,132,0.04482324056174747,0.013720383370763756,0.06348771826332865
29,J1251+0551,4,491426,131,0.03945629105236392,0.04038478666666023,0.064292663196629
29,J1251+0551,5,208812,8,0.04680238126609737,0.01047840699504654,0.06579941232668332
29,J1251+0551,6,496186,138,0.039620875013609336,0.04358060059349356,0.06588915304974793
29,J1251+0551,7,319731,21,0.03349340060844952,0.06699544098005461,0.07233643375518503
29,J1251+0551,8,372755,37,0.059265027304748585,0.04174910310961977,0.08948926819254001
29,J1251+0551,9,253862,12,0.06453152566095532,0.04365645514741168,0.09687919766435245
29,J1251+0551,10,63867,1,0.06999911358163402,0.03633518878123354,0.10205854514051452
32,J1317+2629,1,582612,362,0.03126122749004878,0.027253809824728137,0.0490265546727794
32,J1317+2629,2,602509,460,0.01832252906087639,0.06304995845499661,0.057935746197599086
32,J1317+2629,3,579232,348,0.01578440120850111,0.06742192739807962,0.059803509505798956
32,J1317+2629,4,584724,371,0.018746618198168363,0.06690497647677773,0.06105660296896135
32,J1317+2629,5,586670,380,0.049442311434242825,0.007246853180731705,0.06916741150239433
32,J1317+2629,6,574286,329,0.03931591156397474,0.05182011298951572,0.0694937604255263
32,J1317+2629,7,555815,269,0.0293603548773671,0.06917385408861065,0.07021223235962727
32,J1317+2629,8,615292,531,0.05060411425377964,0.014999962332666428,0.07160482917707982
32,J1317+2629,9,596244,427,0.010586896783950195,0.09468679543536851,0.07948023955342562
32,J1317+2629,10,579759,350,0.04050744030172382,0.06927072091072972,0.08032250626281666
34,J1348+2453,1,600363,448,0.01613252846793145,0.005240576733967828,0.02289591945631349
34,J1348+2453,2,198184,7,0.009555010556528742,0.0408049948599043,0.036195213006329545
34,J1348+2453,3,627572,615,0.02712630181901332,0.005733563942570186,0.03810105167381677
34,J1348+2453,4,619381,555,0.012201051383282646,0.044167216568116174,0.040202950578921155
34,J1348+2453,5,615607,533,0.029540995139553772,0.019651296811625585,0.04424745881580427
34,J1348+2453,6,614326,526,0.015834980894528172,0.06492789212635408,0.05792241006260009
34,J1348+2453,7,642303,725,0.0436837091129707,0.009301901201689944,0.06136430525946842
34,J1348+2453,8,634707,665,0.016062049623595698,0.07242980820718081,0.06379732507865682
34,J1348+2453,9,615182,530,0.008811777616122285,0.08086674120257342,0.06782091115830756
34,J1348+2453,10,630870,637,0.00017386650140771565,0.0827889550430232,0.0682855889640768
36,J1404+3357,1,593259,412,0.002235220918185732,0.010080039284629194,0.0088785947170233
36,J1404+3357,2,329509,23,0.022262222102762408,0.020190384748348222,0.03521393822633529
36,J1404+3357,3,486918,125,0.02650098104744103,0.03802710703643619,0.048455742936052884
36,J1404+3357,4,595100,421,0.016958304983450745,0.053211598838577956,0.04984879783442883
36,J1404+3357,5,567897,306,0.023783294704308844,0.06490102850047919,0.06296274860819208
36,J1404+3357,6,607712,489,0.010375270826420646,0.084567879322627,0.07123552152319469
36,J1404+3357,7,592021,406,0.0038575992554701344,0.10506103126655475,0.08682201591621373
36,J1404+3357,8,576705,339,0.06886005941693973,0.015128983238087201,0.09677937874083135
36,J1404+3357,9,602653,461,0.05592589261251746,0.08014459932908657,0.10220157487080998
41,J1454+3050,1,611152,509,0.011637511031967307,0.0017141106788365335,0.016280915893567557
41,J1454+3050,2,143890,4,0.02669276756557082,0.06650597465270813,0.0662801032086337
41,J1454+3050,3,631677,643,0.0025138206803561047,0.14003589739477285,0.11555613479417659
41,J1454+3050,4,642220,724,0.07259893113188376,0.08404167655093175,0.12264963741175666
41,J1454+3050,5,625041,595,0.05302350843007986,0.14831654426758867,0.14292145247306842
41,J1454+3050,6,610819,507,0.10290744735745605,0.027643867145322076,0.14522508712532323
41,J1454+3050,7,630975,638,0.09770364740458781,0.08063182275871483,0.15154431810092744
41,J1454+3050,8,630155,632,0.10010804812707974,0.07724599292770584,0.15338150892620747
43,J1509+0704,1,646733,763,0.002519487115790753,0.04146821898284969,0.03438317962669201
43,J1509+0704,2,621043,565,0.008477330286767781,0.0391753004585329,0.03440452672250189
43,J1509+0704,3,507293,156,0.0178322106586144,0.07342312726104439,0.0654614768463841
43,J1509+0704,4,618120,548,0.0014185191453748303,0.09263769105315056,0.07643406774845525
43,J1509+0704,5,446667,82,0.06056031153088881,0.009383186321302972,0.08475810076412733
43,J1509+0704,6,630870,637,0.00017386650140771565,0.1172110449569761,0.09667714709392163
43,J1509+0704,7,629891,630,0.04962820159502179,0.08822074546071512,0.1003940852972612
43,J1509+0704,8,628949,624,0.031477363401160474,0.11100806946624786,0.10152814955461305
